Lot,Condition,Description
T17C013A,AGOC_AGT1_Q11,
T17C013P,AGOC_AGT1_Q11,
UMEC,UX,COB
E16L003A,Q1_Q1J_Q11,"Q1_MIJ+Q11 PCB, firmware v.12"
E17D004A,Q1_Q1T1_Q12,"Q1+Q12 PCB, firmware v.12"
E17D004B,Q1_Q1T1_Q12,"Q1+Q12 PCB, firmware v.12"
E17D004C,Q1_Q1T1_Q12,"Q1+Q12 PCB, firmware v.12"
E17D005A,Q1_Q1T1_Q11,"Q1 Interposer/FCB Q1T1, underfill/Q11_PCB, firmware v.12"
E17D005Z,Q1_Q1T1_Q11,"E17D005A- 01, 05, Rx firmware v.11"
E17D005B,Q1_Q1T1_Q01,"Q1+Q01 PCB, firmware v.12"
E17D005C,Q1_Q1T1_Q12,"Q1+Q12 PCB, firmware v.12"
E17E001A,AQGA_Q1T1N_Q11,"AQGA Interposer/FCB Q1T1, no underfill/Q11_PCB"
E17E001B,AQGA1_Q1T1N_Q11,"AQGA Interposer/FCB Q1T1, no underfill/Q11_PCB"
E17E001C,AQGA2_Q1T1N_Q11,"AQGA Interposer/FCB Q1T1, no underfill/Q11_PCB"
E17E001E,AQGA1_Q1T1_Q11,"AQGA1 Int.,Q1T1, 20170519 Int. to Lens"
E17E001G,AQGA_Q1T1_Q11,"AQGA Int., Q1T1, 20170519 Int. to Lens, UF NG"
E17E001H,AQGA1_Q1T1_Q11,"AQGA1 Int, Q1T1, 20170519 Int. to Lens, UF NG"
E17E001J,AQGA2_Q1T1_Q11,"AQGA2 Int, Q1T1, 20170519 Int. to Lens, UF NG"
E17E001K,AQGA_Q1T1_Q12,"AQGA Int, Q1T1"
E17E001M,AQGA_Q1T1_Q12,"AQGA1 Int, Q1T1"
E17E001N,AQGA_Q1T1_Q12,"AQGA2 Int, Q1T1"
E17E001R,AQGA_Q1T1_Q12,"AQGA2 Int, Q1T1, underfill Fail"
E17E002A,AQGA_Q1T2_Q11,"AQGA Int., Q1T2, 20170519 Int. to Lens"
E17E002C,AQGA2_Q1T2_Q01,"AQGA2 Int, Q1T2, 20170519 Int. to Lens"
E17E002D,AQGA_Q1T2_Q11,"AQGA Int., Q1T2, 20170519 Int. to Lens, UF NG"
E17E002E,AQGA3_Q1T2_Q11,"AQGA3 Int., Q1T2, 20170519 Int. to Lens, UF NG"
E17E002F,AQGA2_Q1T2_Q11,"AQGA2 Int, Q1T2, 20170519 Int. to Lens, UF NG"
E17E002G,AQGA2_Q1T2_Q12,"AQGA2 Int, Q1T2, 20170519 Int. to Lens"
E17E002M,AQGA2_Q1T2_Q01,"AQGA2 Int, Q1T2, 20170519 Int. to Lens, UF NG"
E17F001A,AQGA2_Q1T1_Q01,
E17F001B,AQGA2X_Q1T1_Q01,AQGA2 Int. 1.2 um AlCU
E17F001C,AQGA2_Q1T2_Q01,
E17F001D,AQGA2_Q1T1_Q12,
E17F001E,AQGA2X_Q1T1_Q12,AQGA2 Int. 1.2 um AlCU
E17F001F,AQGA2_Q1T2_Q12,
E17F003A,AQGA2_Q1T1_Q12,"AQGA2 Int, Q1T1, __T__R"
E17F003B,AQGA2_Q1T1X_Q12,"AQGA2 Int, Q1T1, __R__T (_ PD/LD _ IC)"
E17F009A,AQGA2_Q1T1_Q11,"AQGA2 Int, Q1T1, 0.8um trace"
E17F009B,AQGA2X_Q1T1_Q11,"AQGA2 Int, Q1T1, 1.2um trace"
E17F010A,AQGA2H_Q1T1_Q11,"AQGA2 Int, Q1T1, 0.8um trace, PD_H, LD_H. E17F010A-1 & E17F010A-2: PD mis-aligned, underfill failed."
E17K005A,AQGB0_AQGB0_Q11,"AQGB0 w/o M1, filp-chip bond FC00, PCB Q11"
E17K005B,AQGB0X_FC00_Q11,"AQGB0 w/ M1, filp-chip bond FC00, PCB Q11"
E17K005C,AQGB1X_FC00_Q11,"AQGB1 w/ M1, filp-chip bond FC00, PCB Q11"
E17K005D,AQGB2X_FC00_Q11,"AQGB2 w/ M1, filp-chip bond FC00, PCB Q11"
E17K005E,AQGB3X_FC00_Q11,"AQGB3 w/ M1, filp-chip bond FC00, PCB Q11"
E17K010A,AQGB0_FC00_Q11,"AQGB0 w/o M1, flip-chip bond FC00, PCB Q11"
E17K010B,AQGB1_FC00_Q11,"AQGB1 w/o M1, flip-chip bond FC00, PCB Q11"
E17K010C,AQGB2_FC00_Q11,"AQGB2 w/o M1, flip-chip bond FC00, PCB Q11"
E17K010D,AQGB3_FC00_Q11,"AQGB3 w/o M1, flip-chip bond FC00, PCB Q11"
E17K010E,AQGB0_FC0P_Q11,"AQGB0 w/o M1, flip-chip bond FC0P (+ 10% bond force compared to FC00), PCB Q11"
E17K010F,AQGB0_FC0M_Q11,"AQGB0 w/o M1, flip-chip bond FC0M (-10% bond force, compared to FC00), PCB Q11"
E17L001A,AUA_FC00_U10,"AUA, PD/LD 4x1, flip-chip bond PD/LD FC00"
E17L003A,AUA_FC01_U10,"AUA, PD/LD 1x1, flip-chip bond PD/LD FC01"
A17J003A,cond1,
A18A001A,cond2,
