V1,V2,V3,X1,X2,X3,X4,X5,X6
1,L3,B10,12.89790407,175.3324386,0.022840108,0.046505661,0.007759811,0.131614122
2,L3,B10,12.90145727,175.2132945,0.022842155,0.046508292,0.007760022,0.131626164
3,L3,B10,12.80530036,174.1587078,0.022851487,0.046515426,0.007759293,0.131680765
4,L3,B10,12.78451414,174.4265117,0.022859417,0.046537499,0.0077638,0.131726211
5,L3,B10,12.69807339,173.6453825,0.022832007,0.046470608,0.007750797,0.131567108
6,L3,B10,12.80102426,173.7324333,0.02285956,0.046535978,0.007763413,0.131726788
7,L3,B10,12.70020531,172.6756018,0.022862279,0.046541153,0.007764093,0.131741965
8,L3,B10,12.47678873,111.0236019,0.042870955,0.087565945,0.014657203,0.247042484
9,L3,B10,12.90454488,175.4248105,0.022840437,0.046502241,0.007758564,0.131615936
10,L3,B10,12.84303778,174.5385885,0.022841353,0.046503235,0.007758617,0.131620885
11,L3,B10,12.82440186,172.1764939,0.022914365,0.046632485,0.007776675,0.132042932
12,L3,B10,NA,171.7688434,0.02293741,0.046684056,0.007786217,0.132175889
13,L3,B10,12.89044848,175.2177843,0.02281828,0.046456341,0.007750739,0.131489248
14,L3,B10,12.84132244,174.6002807,0.022825909,0.046484904,0.007757697,0.131532385
15,L3,B10,12.78734445,173.6646717,0.022867947,0.046562816,0.007769442,0.131775121
16,L3,B10,12.80916599,174.1199632,0.022867174,0.046568956,0.007771761,0.13176976
17,L3,B10,12.70446914,172.7252382,0.022857613,0.04654396,0.007766633,0.131715076
18,L3,B10,12.63317237,171.8102487,0.022874059,0.046585737,0.007775109,0.131808691
19,L3,B10,12.76330522,173.4255523,0.022856282,0.046532207,0.007763227,0.131707323
20,L3,B10,12.65439967,172.0665788,0.022894899,0.046598922,0.00777205,0.131931255
21,L3,B10,12.81335632,174.2069308,0.022851258,0.046517297,0.007759895,0.13167862
22,L3,B10,12.77388518,173.6915269,0.022904403,0.046606611,0.007771463,0.131985196
23,L3,B15,12.75589251,173.5106908,0.02289374,0.046584538,0.007767744,0.131924079
24,L3,B10,12.72937829,173.1546721,0.02287539,0.046541065,0.007759493,0.131818093
25,L2,B14,12.72382183,173.0144098,0.022839836,0.046333376,0.007701397,0.131612719
26,L2,B14,12.65854098,172.1920417,0.022754371,0.046122179,0.00765964,0.131121307
27,L2,B14,12.85639291,174.8093855,0.022833653,0.046329693,0.007702121,0.131576841
28,L2,B14,12.75159804,173.4197322,0.022841339,0.046343258,0.007703947,0.131621132
29,L2,B14,12.68258021,172.4864513,0.022852918,0.046371353,0.007709423,0.131686868
30,L2,B14,12.67796718,172.435152,0.022815618,0.046294405,0.007696464,0.131473082
31,L2,B14,12.59263527,171.1713773,0.022906393,0.046616873,0.007774184,0.131997238
32,L2,B14,12.74291108,173.1427827,0.022915854,0.046635145,0.007777066,0.132051345
33,L2,B14,12.74666645,173.3375037,0.022843328,0.046351093,0.007706114,0.131632515
34,L2,B14,12.73277221,173.3229537,0.022861549,0.046385795,0.007711321,0.131737511
35,L2,B14,12.61290688,171.3933693,0.022856912,0.046380445,0.007711209,0.131710705
36,L2,B14,12.68441807,172.471153,0.022838476,0.046342732,0.007704857,0.131603729
37,L2,B14,12.64958447,172.0208501,0.022859917,0.046381089,0.007710406,0.131727366
38,L2,B14,12.73785084,173.1840216,0.022846277,0.046343667,0.007702508,0.131649588
39,L2,B13,12.90322774,174.8326656,0.0228432,0.046360682,0.007708297,0.131630782
