"sample_id","group","value"
1,"before",27.4328716241869
2,"before",25.5790828420269
3,"before",25.1956399197131
4,"before",27.049735482621
5,"before",26.1680497521379
6,"before",26.7013264219579
7,"before",26.789209588982
8,"before",25.9925748645743
9,"before",26.0175975206178
10,"before",26.5377856618514
11,"before",28.1137043958878
12,"before",24.8717198394843
13,"before",27.4127354251541
14,"before",27.0995404454562
15,"before",27.9757198047316
16,"before",26.3349792916388
17,"before",27.1440225718995
18,"before",27.0205185489267
1,"after",30.8170569820132
2,"after",30.2612589225463
3,"after",27.5599034657641
4,"after",29.5880907522604
5,"after",30.6003319906795
6,"after",29.0506300686476
7,"after",29.58182884538
8,"after",28.5997669351323
9,"after",28.6976046520693
10,"after",29.2586723588748
11,"after",31.6078927271557
12,"after",27.6943893572147
13,"after",29.9067779630398
14,"after",31.4425792706266
15,"after",30.7611403961848
16,"after",29.1554227615954
17,"after",30.043831830686
18,"after",30.7331848559781
